CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPQWHKOLTCDEFIAH00617350";1;3;2018;4;2;418;2;1;2;1
"TQRMNOPQWHMLKUCDEFIAH00594744";1;1;2018;4;2;1004;1;2;2;1
"TQRMNOPQWHMLKUCDEFIAH00594744";1;2;2018;4;2;1004;1;2;1;1
"TQRMNOPQXHMLKUCDEFIAH00622938";1;1;2018;4;2;1004;1;1;2;1
"TQRMNOPQXHMLKUCDEFIAH00622938";1;2;2018;4;2;1004;1;1;2;1
"TQRMNOPQYHJKKSCDEFIAH00622876";1;1;2018;4;2;1790;1;1;1;1
"TQRMNOPQYHKOLTCDEFIAH00617356";1;1;2018;4;2;418;3;2;2;2
"TQRMNOPQYHKOLTCDEFIAH00617356";1;2;2018;4;2;418;3;2;2;2
"TQRMNOPQYHKOLTCDEFIAH00617356";1;3;2018;4;2;418;3;1;1;1
"TQRMNOPQYHKOLTCDEFIAH00617356";1;4;2018;4;2;418;3;1;1;1
"TQRMNOPRPHMMMLCDEFIAH00594847";1;1;2018;4;2;620;1;1;1;1
"TQRMNOPRPHMMMLCDEFIAH00594847";1;2;2018;4;2;620;1;1;1;1
"TQRMNOPRPHMMMLCDEFIAH00594847";1;3;2018;4;2;620;1;1;1;1
"TQRMNOPRPHMMMLCDEFIAH00594847";1;4;2018;4;2;620;1;1;1;1
"TQRMNOPRQHKNKMCDEFIAH00622939";1;1;2018;4;2;663;1;1;2;1
"TQRMNOPRQHKNKMCDEFIAH00622939";1;2;2018;4;2;663;1;1;2;1
"TQRMNOPRQHKNKMCDEFIAH00622939";1;3;2018;4;2;663;1;1;2;1
"TQRMNOPRQHKNKMCDEFIAH00622939";1;4;2018;4;2;663;1;1;2;1
"TQRMNOPRQHKOMLCDEFIAH00617481";1;1;2018;4;2;760;1;1;2;1
"TQRMNOPRQHKOMLCDEFIAH00617481";1;2;2018;4;2;760;1;1;2;1
"TQRMNOPRQHKOMLCDEFIAH00617481";1;4;2018;4;2;760;1;1;1;1
