,codigo_vivienda,nro_hogar,tiene_computadora,acceso_internet,uso_internet,uso_computadora,uso_movil
80,TQRMNOPTRHJKKOCDEIHJF00626471,1,1,1,1,2,2
81,TQRMNOPTRHMMKQCDEIHJF00604195,1,1,1,1,1,1
82,TQRMNOPTRHMMKQCDEIHJF00604195,1,1,1,1,1,1
83,TQRMNOPTRHMMKQCDEIHJF00604195,1,1,1,1,2,2
84,TQRMNOPTRHMMKTCDEIHJF00620895,1,1,1,1,1,1
85,TQRMNOPTRHMMKTCDEIHJF00620895,1,1,1,1,2,2
86,TQRMNOPTRHMMKTCDEIHJF00620895,1,1,1,1,2,2
87,TQRMNOPTSHJKKOCDEIHJF00626478,1,1,1,1,1,1
88,TQRMNOPTSHMMKQCDEIHJF00598502,1,1,1,2,2,1
89,TQRMNOPTSHMMKQCDEIHJF00598502,1,1,1,1,1,1
90,TQRMNOPTSHMMKQCDEIHJF00598502,1,1,1,1,1,1
91,TQRMNOPTSHMMKQCDEIHJF00598502,1,1,1,1,2,2
92,TQRMNOPTSHMMKQCDEIHJF00598502,1,1,1,1,2,2
93,TQRMNOPTSHMMKTCDEIHJF00598547,1,1,1,1,2,1
94,TQRMNOPTSHMMKTCDEIHJF00598547,1,1,1,1,2,1
95,TQRMNOPTTHJKKOCDEIHJF00626476,1,1,1,1,1,1
96,TQRMNOPTTHMMKQCDEIHJF00598513,1,1,1,1,2,1
97,TQRMNOPTTHMMKQCDEIHJF00598513,1,1,1,1,1,1
98,TQRMNOPTTHMMKQCDEIHJF00598513,1,1,1,1,1,2
99,TQRMNOPTUHJKKOCDEIHJF00626378,1,1,1,1,1,1
100,TQRMNOPURHJOKTCDEIHJF00626418,1,2,2,2,2,2
101,TQRMNOPURHJOKTCDEIHJF00626418,1,2,2,2,2,2
102,TQRMNOPURHJOKUCDEIHJF00626374,1,1,1,1,1,1
103,TQRMNOPURHJOKUCDEIHJF00626374,1,1,1,1,2,1
104,TQRMNOPURHJOKUCDEIHJF00626374,1,1,1,1,1,1
105,TQRMNOPURHJOKUCDEIHJF00626374,1,1,1,1,1,1
106,TQRMNOPUSHJOKTCDEIHJF00626469,1,1,1,1,1,1
107,TQRMNOPUSHJOKTCDEIHJF00626469,1,1,1,1,1,1
108,TQRMNOPUSHJOKTCDEIHJF00626469,1,1,1,1,1,1
109,TQRMNOPUSHJOKUCDEIHJF00626470,1,2,2,1,2,1
110,TQRMNOPUSHJOKUCDEIHJF00626470,1,2,2,1,2,1
111,TQRMNOPUSHJOKUCDEIHJF00626470,1,2,2,1,2,1
112,TQRMNOPUSHJOKUCDEIHJF00626470,1,2,2,1,2,1
113,TQRMNOPUTHJOKTCDEIHJF00626373,1,2,2,2,2,2
114,TQRMNOPUTHJOKTCDEIHJF00626373,1,2,2,2,2,2
115,TQRMNOPUTHJOKUCDEIHJF00626450,1,1,1,1,2,1
116,TQRMNOPUTHJOKUCDEIHJF00626450,1,1,1,1,2,1
117,TQRMNOPUTHJOKUCDEIHJF00626450,1,1,1,1,1,1
118,TQRMNOPUTHJOKUCDEIHJF00626450,1,1,1,1,1,1
119,TQRMNOPUTHJOKUCDEIHJF00626450,1,1,1,1,1,1
120,TQRMNOPUTHJOKUCDEIHJF00626450,1,1,1,1,2,2
121,TQRMNOPUTHJOKUCDEIHJF00626450,1,1,1,1,2,2
122,TQRMNOPUUHJOKTCDEIHJF00626376,1,1,1,1,1,1
123,TQRMNOPUUHJOKTCDEIHJF00626376,1,1,1,1,1,1
124,TQRMNOPUVHLLKMCDEIHJF00604136,1,1,1,1,1,1
125,TQRMNOPUVHLLKMCDEIHJF00604136,1,1,1,1,1,1
126,TQRMNOPUWHLLKMCDEIHJF00604140,1,1,1,1,1,1
127,TQRMNOPUWHLLKMCDEIHJF00604140,1,1,1,1,1,1
128,TQRMNOPUWHLOKSCDEIHJF00604206,1,1,1,1,2,1
129,TQRMNOPUWHLOKSCDEIHJF00604206,1,1,1,1,2,1
130,TQRMNOPUWHLOKSCDEIHJF00604206,1,1,1,1,1,1
131,TQRMNOPUWHLOKSCDEIHJF00604206,1,1,1,1,1,1
132,TQRMNOPUWHLOKSCDEIHJF00604206,1,1,1,1,2,2
133,TQRMNOPUXHLLKMCDEIHJF00604149,1,1,1,1,1,1
134,TQRMNOPUXHLLKMCDEIHJF00604149,1,1,1,1,1,1
135,TQRMNOPUXHLLKMCDEIHJF00604149,1,1,1,1,1,2
136,TQRMNOPUYHLLKMCDEIHJF00604160,1,1,1,1,1,1
137,TQRMNOPUYHLLKMCDEIHJF00604160,1,1,1,1,1,1
138,TQRMNOPUYHLLKMCDEIHJF00604160,1,1,1,1,1,2
139,TQRMNOPUYHLLKMCDEIHJF00604160,1,1,1,1,1,2
140,TQRMNOPUYHLOKSCDEIHJF00609747,1,2,2,1,2,1
141,TQRMNOPUYHLOKSCDEIHJF00609747,1,2,2,1,2,1
142,TQRMNOPVPHLOKSCDEIHJF00604226,1,2,2,1,2,1
143,TQRMNOPVPHLOKSCDEIHJF00604226,1,2,2,1,2,1
144,TQRMNOPVRHKMKOCDEIHJF00620878,1,1,1,1,1,1
145,TQRMNOPVRHLNKOCDEIHJF00626408,1,1,1,1,1,1
146,TQRMNOPVRHLOKNCDEIHJF00604184,1,1,1,1,1,1
147,TQRMNOPVRHLOKNCDEIHJF00604184,1,1,1,1,1,1
148,TQRMNOPVRHLOKNCDEIHJF00604184,1,1,1,1,1,1
149,TQRMNOPVRHLOKNCDEIHJF00604184,1,1,1,1,1,1
150,TQRMNOPVRHLOKNCDEIHJF00604184,1,1,1,1,1,1
151,TQRMNOPVSHKMKOCDEIHJF00620879,1,1,1,1,1,1
152,TQRMNOPVSHKMKOCDEIHJF00620879,1,1,1,1,1,1
153,TQRMNOPVTHJOKMCDEIHJF00626417,1,1,1,1,1,1
